,address,district
0,"город Москва, улица Егора Абакумова, дом 9",Ярославский
1,"город Москва, улица Талалихина, дом 2/1, корпус 1",Таганский
2,"город Москва, Абельмановская улица, дом 6",Таганский
3,"город Москва, Абрамцевская улица, дом 1",Лианозово
4,"город Москва, Абрамцевская улица, дом 9, корпус 1",Лианозово
5,"город Москва, Абрамцевская улица, дом 15, корпус 1",Лианозово
6,"город Москва, переулок Сивцев Вражек, дом 6/2",Арбат
7,"город Москва, Авиамоторная улица, дом 8, строение 1",Лефортово
8,"город Москва, Нижняя Красносельская улица, дом 35, строение 59",Басманный
9,"город Москва, Мясницкая улица, дом 46, строение 3",Басманный
10,"город Москва, улица Коровий Вал, дом 9",Якиманка
11,"город Москва, Венёвская улица, дом 2",Южное Бутово
12,"город Москва, улица Новый Арбат, дом 11, строение 2",Арбат
13,"город Москва, улица Арбат, дом 26",Арбат
14,"город Москва, Новопетровская улица, дом 6",Коптево
15,"город Москва, Варшавское шоссе, дом 141, корпус 10",Чертаново Южное
